recording_id,cutter_id,follower_id,from_lane,to_lane,relation_start_frame,relation_end_frame,relation_start_time,relation_rows,dhw_min,thw_min,ttc_min,dhw_min_raw_window,thw_min_raw_window,ttc_min_raw_window
17,491,495,6,5,11284,11333,451.36,50,7.329999999999956,0.18727644353602338,2.161904761904761,5.889999999999986,0.15410779696493948,2.161904761904761
12,2141,2143,6,7,18180,18229,727.2,50,5.269999999999982,0.17774030354131473,2.8956043956043853,2.7099999999999795,0.08807279818004483,0.9186440677966035
16,623,630,2,3,15056,15105,602.24,50,35.97000000000003,0.9599679743795043,2.926769731489018,24.75,0.7061340941512126,2.5255102040816335
13,2179,2189,3,4,19913,19962,796.52,50,12.880000000000003,0.4153498871331829,2.988399071925753,11.370000000000001,0.36855753646677475,2.7664233576642316
07,71,74,2,3,1177,1198,47.08,22,15.690000000000001,0.43223140495867773,3.040697674418607,10.830000000000002,0.29925393755180996,2.21472392638037
19,846,851,2,3,20380,20429,815.2,50,19.17,0.6608066184074457,3.1120129870129873,18.419999999999998,0.6389177939646201,3.059800664451827
18,210,216,2,3,4889,4929,195.56,41,24.859999999999985,0.7322533136966122,3.130982367758184,16.01000000000002,0.5213285574731364,3.1167582417582427
12,1317,1322,3,2,10758,10807,430.32,50,10.440000000000055,0.54488517745303,3.538983050847477,7.550000000000011,0.3922077922077928,2.451298701298706
03,618,623,2,3,17206,17255,688.24,50,21.960000000000008,0.5010266940451747,3.6845637583892628,16.699999999999996,0.39340400471142506,3.6826758147512897
06,1040,1044,8,7,22097,22117,883.88,21,29.66999999999996,0.8047192839707068,3.7892720306513366,11.939999999999998,0.321832884097035,1.4047058823529408
08,274,280,8,7,4418,4432,176.72,15,38.0,0.8812615955473099,3.85395537525355,14.069999999999993,0.323299632352941,1.4269776876267732
05,846,850,3,4,19525,19574,781.0,50,25.529999999999987,0.6753968253968251,3.8632138114209824,19.770000000000003,0.548252911813644,3.8632138114209824
11,1436,1443,2,3,12549,12578,501.96,30,10.650000000000006,0.39768483943241245,4.003759398496243,5.400000000000006,0.19867549668874193,1.7880794701986775
09,1251,1257,3,4,23762,23811,950.48,50,20.009999999999998,0.501755265797392,4.250428816466553,16.66,0.4266325224071703,4.250428816466553
17,26,34,2,3,112,151,4.48,40,53.33000000000001,1.4764673311184944,4.279197080291973,40.56,1.2738693467336684,4.279197080291973
19,109,111,6,5,2801,2850,112.04,50,14.610000000000014,0.4236010437808064,4.414937759336094,12.310000000000002,0.35952102803738323,4.414937759336094
14,2515,2514,3,4,24768,24817,990.72,50,4.25,0.15723270440251572,4.428571428571433,4.25,0.15723270440251572,4.110294117647063
02,986,997,2,3,22708,22757,908.32,50,21.549999999999997,0.7451590594744121,4.475073313782997,18.830000000000013,0.661165730337079,4.084521384928717
09,654,658,2,3,12761,12810,510.44,50,70.91999999999999,1.648152451777829,4.647444298820444,55.45000000000002,1.2998124706985472,3.8215024121295675
16,733,735,6,5,17654,17703,706.16,50,34.53000000000003,0.9729501267962815,4.737108190091004,29.110000000000014,0.8602245862884164,4.737108190091004
05,1174,1179,8,7,27675,27688,1107.0,14,54.51000000000002,1.5099722991689755,4.773204903677759,27.19999999999999,0.754089270862212,2.570888468809072
18,379,384,2,3,8899,8946,355.96,48,50.79,1.1530079455164586,4.791509433962267,50.79,1.1530079455164586,4.791509433962267
12,1106,1109,4,3,8840,8889,353.6,50,10.920000000000016,0.5839572192513378,4.848765432098779,9.250000000000028,0.519079685746354,4.848765432098779
11,823,826,7,6,6799,6848,271.96,50,16.28,0.5606060606060607,4.8771186440677985,15.019999999999996,0.529805996472663,4.773279352226719
20,486,492,2,3,10057,10106,402.28,50,24.98999999999998,0.8793103448275855,4.988555078683834,21.70999999999998,0.7914691943127955,4.885997521685255
01,1026,1030,2,3,22113,22162,884.52,50,29.279999999999973,0.7866738312735082,4.9931034482758605,24.600000000000023,0.6873428331936302,4.9931034482758605
12,1948,1953,7,6,16321,16370,652.84,50,4.889999999999986,0.14289888953828173,5.008928571428551,4.889999999999986,0.14289888953828173,4.551999999999998
20,600,602,6,5,12156,12205,486.24,50,19.629999999999995,0.6506463374212792,5.059278350515459,15.930000000000007,0.536725067385445,4.803519061583576
