recording_id,cutins,ttc_finite,exec_thw_median
1,103,37,1.138728323699422
10,93,43,1.492163009404389
11,126,69,1.025186895055855
12,183,89,1.1582141309059395
13,253,113,1.022165114037905
14,210,82,1.0686723050593103
15,82,24,1.303448427504493
16,103,25,1.0683618174239264
17,90,23,1.1103727291045136
18,43,13,0.9322116556937338
19,99,33,1.007076514816453
2,83,31,1.319143639531989
20,92,29,1.1836598069747075
3,78,24,1.2331242486392366
4,153,53,1.3858388917393538
5,160,53,1.5164272622888748
6,189,56,1.2669831994156318
7,99,36,1.3270777479892777
8,167,56,1.2599866101316672
9,156,57,1.2419663966184245
