recording_id,cutins,exec_thw_median,exec_dhw_median,exec_ttc_finite,risky,very_risky,decision_lat_v_median,exec_lat_v_median,risky_pct,very_risky_pct
1,103,1.0224215246636768,27.05000000000001,33,26,10,0.94,0.89,25.2,9.7
2,83,1.2551546391752582,33.06,28,21,12,0.9,0.91,25.3,14.5
3,78,1.1553728024890209,29.08,24,18,9,0.88,0.875,23.1,11.5
4,153,1.2999999999999998,38.83999999999999,50,47,20,0.885,0.86,30.7,13.1
5,160,1.3602910064059337,38.83000000000001,49,33,13,0.91,0.875,20.6,8.1
6,189,1.150913423351866,34.98000000000002,55,55,27,0.85,0.83,29.1,14.3
7,99,1.2733333333333334,38.41,35,23,9,0.84,0.8,23.2,9.1
8,167,1.1056860321384423,33.81,51,40,16,0.87,0.87,24.0,9.6
9,156,1.1849655460389983,36.175,55,41,19,0.89,0.89,26.3,12.2
10,93,1.3969125214408242,41.0,42,21,10,0.91,0.88,22.6,10.8
